1,2,3,4,5,6
10.8856,11.01496707,13.36636881,12.02754279,15.58880263,16.17700579
10.5704,11.1616,13.64980545,12.44233807,14.02700491,15.26565209
10.73621103,11.08858739,13.5157809,12.69938407,14.46642247,14.93723527
10.5536,11.13949312,13.95522695,12.43772384,14.17617004,14.5730272
10.4332534,11.21648659,13.92753327,12.0443038,14.10367347,14.64300868
10.63525654,11.14536741,13.95495496,12.16613924,14.27635619,14.89551664
10.75470188,11.35050929,13.89340413,12.15497715,14.45100835,15.04483356
10.66453419,11.3528,13.95791624,12.16646754,14.45074444,15.15976103
10.77114228,11.40367706,14.08745637,12.84115097,14.7446505,15.36606971
10.87542492,11.66833167,14.1585615,12.60786651,14.7072523,15.40555127
11.05910543,11.64936102,14.69780783,12.96928869,14.7933783,15.8614052
11.30048077,11.72267732,14.56538698,12.78970297,15.31989412,15.69681774
11.33973589,11.74625972,15.07862862,13.15285232,15.34042553,15.83359014
11.58189828,12.1517875,14.9297164,13.05912596,15.67580843,15.94837218
11.79237373,12.28919513,14.71885831,12.98513969,15.70851194,16.49778121
11.5295059,12.3752,14.73584906,13.46169115,15.5705798,16.64906533
11.9423308,12.48191808,14.5096272,13.65884692,15.66373492,16.6186995
11.77902322,12.77058353,14.95648621,13.88095238,15.4055601,16.52234206
12.12387612,12.56926148,15.64804584,13.71235866,15.38008587,16.90121317
12.07995203,12.82364689,14.98047276,13.87517337,15.43640082,16.62350674
12.20863309,12.9583084,15.31935882,14.2530288,15.68846075,16.72559214
12.37664934,12.93426573,15.42052642,14.21699242,15.45957011,16.64548431
12.29194161,13.07732268,15.99016393,14.39904705,15.78830769,17.17193524
12.40488098,13.10964649,15.76282314,14.40684033,15.60466544,17.17556369
12.86503805,13.33066613,15.73782618,14.73542778,15.47818964,16.87724032
12.77988425,13.19896228,15.9097991,14.43222862,15.83836735,17.02429618
12.73621103,13.37035557,15.92463649,14.8398337,15.58459648,16.98110297
13.06917987,13.3779291,15.6804903,14.65066987,16.00826788,16.4412729
12.90945513,13.3077538,16.23202614,14.7688,15.44627931,16.58354211
12.64205457,13.48216433,15.95349786,14.08799522,15.60229133,16.77210557
12.82755858,13.84966927,16.75220694,16.01029295,16.3294702,17.25476603
12.11637239,12.72908764,17.28634733,14.26410612,15.62344292,16.77065637
10.97700686,13.27791165,18.07377049,14.64332604,15.75755102,17.05279383
11.53196622,13.54662379,19.91820041,15.80800637,15.96239526,17.36009263
11.81511254,13.43688541,19.57834525,15.92812937,15.99188641,16.99440694
11.80952381,13.33897281,19.21498371,15.36129798,16.33625791,17.15862601
12.1360161,13.25723473,19.91357521,15.18654797,16.45140301,17.1310717
11.91318328,13.33734698,19.61541615,14.5660828,16.20219245,17.23047252
11.74466371,13.4858519,19.78356387,15.1161586,16.38320424,17.31354789
12.07020375,13.4184,19.1026429,15.06914263,16.55687885,17.32331407
11.64274194,13.27258193,19.39506173,14.67197452,16.94951576,17.00540123
10.69923294,13.22712681,17.22632556,14.05959476,16.22203879,16.91410925
12.44122383,13.0440678,17.61328686,13.57635468,18.37756305,16.9322109
11.9524577,12.8638535,18.35908056,13.84234684,16.33525535,16.34021215
12.15996785,13.10344828,18.11574362,13.42161947,16.30470685,16.65483995
12.08856683,13.08494903,18.38507772,13.68571429,16.33786568,16.47190577
12.41135037,13.52164373,18.9611891,14.08066429,16.55411255,16.68155564
12.22338288,13.44048096,18.10365476,14,16.51373116,16.96899673
12.37761675,13.36003204,17.8322687,13.73243883,16.68174342,17.03178578
12.42578831,13.28405913,18.78454865,14.0347277,16.44866763,16.77178103
12.54475961,13.3734698,18.04337947,14.43214497,16.71354919,16.77488927
12.37474869,13.30078047,18.76070321,14.39494969,16.90357217,17.18561262
12.61006036,13.55115115,17.74038264,14.57793623,17.01503605,17.38541466
12.47318739,13.56365092,19.43400124,14.52498017,17.00020631,17.50442478
12.76190476,13.61990769,19.24603011,14.36162653,17.18374923,17.49114704
12.96670678,13.76165803,18.10655738,15.12722949,17.70319917,17.61048978
13.24276527,14.18116232,19.1243332,15.29285714,17.69661995,18.11093991
13.446364,14.2344,19.56847492,14.92826343,18.12713433,18.48190916
13.75572519,14.42208442,20.03366865,15.87757504,18.40807083,18.84305796
13.12180391,14.21130417,20.34107253,16.16563806,18.28348398,18.48044693
13.65861514,14.3800995,20.43758997,15.99842084,18.4379773,18.7761712
13.50985915,14.63580124,20.66941808,16.14468252,18.32584964,18.93066256
13.84114217,14.69012395,21.45160622,16.8452167,18.37311894,19.08107067
13.96299276,14.74576946,21.13910546,16.81251237,18.4286892,19.00385208
13.97826962,14.61372706,21.91318727,16.81042654,18.56266722,18.84030052
14.01608363,14.99163013,21.72534486,16.6484127,18.40264572,19.20478211
14.23347398,15.00537956,22.26036724,17.19580281,18.46400658,19.3612928
14.16294508,14.93871032,21.93822076,16.96425735,18.42304527,19.27770283
14.33916717,15.01952969,21.40943746,17.3505873,18.04892086,19.31679169
14.48428687,14.85497403,21.08114754,17.12037952,18.6587269,19.02191465
14.37857431,15.12696831,22.4,17.22231013,18.39309211,19.41998845
14.51607717,14.97067624,21.86974444,16.90498812,18.04782342,19.18584071
14.28916147,15.17147978,22.42986799,17.52301587,18.16520498,19.23490965
14.25070309,15.27947337,22.24938272,17.13479125,18.06826078,19.4982659
14.29859155,15.05646776,21.94481054,17.81435938,18.200082,19.13939627
14.07276382,15.05976414,21.73322422,17.234186,18.06256389,18.89915319
14.22454728,15.16693291,21.66707768,17.44312796,18.12121212,19.15352058
14.4340836,15.24132429,22.39572632,17.45081806,18.05029646,18.89214176
14.27767732,15.23972876,22.32170142,17.6900851,18.15921215,19.13775216
14.11187123,14.98546685,21.91225541,17.94023352,18.05660377,19.32256824
14.24170521,15.00997208,22.07407407,17.36026936,18.06947282,19.38040123
13.92321608,15.10570403,22.06771263,17.6424581,18.67547481,19.26295585
14.02759448,15.02907208,22.60390545,16.77948718,18.57413509,19.23879161
